key,manual_tier,name,pos,team,total,ppg,Bye,Age,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,Tgt%,RZTgt,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p00-0031381,3,Davante Adams,WR,LA,192.9,13.78,11,33,,,,,,,114,60,789,14,25.1,32,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0036322,3,Justin Jefferson,WR,MIN,159.5,9.38,6,27,,,,,,,141,84,1048,2,30.7,19,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0037247,3,George Pickens,WR,DAL,243.4,14.32,14,25,,,,,,,137,93,1429,9,22.5,23,,,,,,,,6871,1,1120,1,2136,9,4735,1,
pTAT143045,3,Carnell Tate,WR,TEN,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,4830,30,1004,26,1589,30,3241,29,
pTYS405541,3,Jordyn Tyson,WR,NO,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,5630,22,1075,11,1603,28,4027,10,
pLEM694125,3,Makai Lemon,WR,PHI,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,5486,24,1010,25,1988,18,3498,23,
pCON046719,3,KC Concepcion,WR,CLE,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,4801,31,1030,19,1649,27,3152,31,
pCOO816508,3,Omar Cooper Jr.,WR,NYJ,0.0,0.0,13,,,,,,,,,,,,,,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0035676,3,A.J. Brown,WR,NE,181.3,12.09,11,29,,,,,,,121,78,1003,7,28.7,13,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0036554,3,Nico Collins,WR,HOU,188.7,12.58,8,27,,,,,,,120,71,1117,6,24.2,19,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0039064,3,Zay Flowers,WR,BAL,200.3,11.78,13,25,,,,,,,118,86,1211,5,29.9,12,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0034348,4,Courtland Sutton,WR,DEN,180.7,10.63,10,30,,,,,,,124,74,1017,7,21.1,20,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0037238,4,Drake London,WR,ATL,165.9,13.83,11,25,,,,,,,112,68,919,7,29.7,16,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0040124,4,Tetairoa McMillan,WR,CAR,178.4,10.49,5,23,,,,,,,122,70,1014,7,25.7,15,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p00-0034827,4,DJ Moore,WR,BUF,147.2,8.66,7,29,,,,,,,85,50,682,6,16.1,11,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0036410,4,Tee Higgins,WR,CIN,180.1,12.01,6,27,,,,,,,98,59,846,11,18.3,16,,,,,,,,5835,18,1057,16,1591,29,4244,7,
p00-0036912,4,DeVonta Smith,WR,PHI,163.3,9.61,10,27,,,,,,,113,77,1008,4,24.6,12,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0039915,4,Ladd McConkey,WR,LAC,147.9,9.24,7,24,,,,,,,106,66,789,6,21.1,15,,,,,,,,6020,10,1095,3,2067,12,3953,15,
pStriDe01,4,De'Zhaun Stribling,WR,SF,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
pBOS677861,4,Denzel Boston,WR,CLE,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,4801,31,1030,19,1649,27,3152,31,
pBER218265,4,Germie Bernard,WR,PIT,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0037240,5,Jameson Williams,WR,DET,187.4,11.02,6,25,,,,,,,102,65,1117,7,18.6,9,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0035640,5,DK Metcalf,WR,PIT,157.7,10.51,9,28,,,,,,,99,59,850,6,22.4,13,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0039893,5,Brian Thomas Jr.,WR,JAX,114.8,8.2,7,23,,,,,,,91,48,707,2,19.3,7,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0040129,5,Emeka Egbuka,WR,TB,162.2,9.54,10,23,,,,,,,127,63,938,6,23.6,15,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0037239,5,Chris Olave,WR,NO,219.0,13.69,8,26,,,,,,,156,100,1163,9,29.2,15,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0034960,5,Jakobi Meyers,WR,JAX,138.3,8.64,7,29,,,,,,,110,75,835,3,22.9,15,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0036252,5,Michael Pittman,WR,PIT,160.4,9.44,9,28,,,,,,,111,80,784,7,20.6,18,,,,,,,,5388,25,988,28,1756,26,3632,22,
